,Location,2020,2021,2022,Income_per_Capita
828,"Cass, IA",49689.0,56698.0,59063.0,55150.0
829,"Cedar, IA",55521.0,62671.0,65324.0,61172.0
830,"Cerro Gordo, IA",52333.0,61338.0,67777.0,60482.666666666664
831,"Cherokee, IA",54212.0,67753.0,83241.0,68402.0
832,"Chickasaw, IA",56429.0,73064.0,89185.0,72892.66666666667
833,"Clarke, IA",42831.0,45760.0,48316.0,45635.666666666664
834,"Clay, IA",53601.0,59372.0,61974.0,58315.666666666664
835,"Clayton, IA",54208.0,60701.0,64520.0,59809.666666666664
836,"Clinton, IA",47396.0,51474.0,52629.0,50499.666666666664
837,"Crawford, IA",44377.0,52996.0,54711.0,50694.666666666664
838,"Dallas, IA",70783.0,76813.0,79938.0,75844.66666666667
839,"Davis, IA",40207.0,45895.0,51702.0,45934.666666666664
840,"Decatur, IA",39004.0,43444.0,44532.0,42326.666666666664
841,"Delaware, IA",51953.0,57849.0,60949.0,56917.0
842,"Des Moines, IA",53868.0,58622.0,60617.0,57702.333333333336
843,"Dickinson, IA",62621.0,71287.0,74159.0,69355.66666666667
844,"Dubuque, IA",52804.0,58027.0,60090.0,56973.666666666664
845,"Emmet, IA",44636.0,51398.0,54119.0,50051.0
846,"Fayette, IA",45853.0,50665.0,52666.0,49728.0
847,"Floyd, IA",48695.0,56206.0,59242.0,54714.333333333336
848,"Franklin, IA",48951.0,61597.0,65001.0,58516.333333333336
849,"Fremont, IA",53107.0,61317.0,62532.0,58985.333333333336
850,"Greene, IA",50930.0,59990.0,61809.0,57576.333333333336
851,"Grundy, IA",54358.0,62645.0,65201.0,60734.666666666664
852,"Guthrie, IA",57727.0,65315.0,68017.0,63686.333333333336
853,"Hamilton, IA",49508.0,58746.0,63592.0,57282.0
854,"Hancock, IA",50960.0,61665.0,66602.0,59742.333333333336
855,"Hardin, IA",48765.0,61183.0,68981.0,59643.0
856,"Harrison, IA",48510.0,55926.0,58283.0,54239.666666666664
857,"Henry, IA",45115.0,49339.0,50108.0,48187.333333333336
858,"Howard, IA",49253.0,59877.0,63152.0,57427.333333333336
859,"Humboldt, IA",50063.0,57179.0,60563.0,55935.0
860,"Ida, IA",54393.0,68789.0,76977.0,66719.66666666667
861,"Iowa, IA",54833.0,59734.0,60646.0,58404.333333333336
862,"Jackson, IA",48820.0,53974.0,55537.0,52777.0
863,"Jasper, IA",45513.0,50197.0,50521.0,48743.666666666664
864,"Jefferson, IA",48566.0,53380.0,54979.0,52308.333333333336
865,"Johnson, IA",56435.0,60934.0,62302.0,59890.333333333336
866,"Jones, IA",47422.0,52356.0,53581.0,51119.666666666664
867,"Keokuk, IA",47919.0,54532.0,55331.0,52594.0
868,"Kossuth, IA",51038.0,63200.0,66517.0,60251.666666666664
869,"Lee, IA",46428.0,49412.0,49927.0,48589.0
870,"Linn, IA",55321.0,59685.0,60928.0,58644.666666666664
871,"Louisa, IA",46612.0,51581.0,52933.0,50375.333333333336
872,"Lucas, IA",44635.0,48360.0,49289.0,47428.0
873,"Lyon, IA",56584.0,65527.0,71805.0,64638.666666666664
874,"Madison, IA",52843.0,57314.0,58339.0,56165.333333333336
875,"Mahaska, IA",45319.0,50087.0,51311.0,48905.666666666664
876,"Marion, IA",52773.0,57927.0,59714.0,56804.666666666664
877,"Marshall, IA",45331.0,48899.0,48756.0,47662.0
878,"Mills, IA",61390.0,67227.0,70833.0,66483.33333333333
879,"Mitchell, IA",57415.0,75311.0,96075.0,76267.0
880,"Monona, IA",47254.0,57226.0,60488.0,54989.333333333336
881,"Monroe, IA",49359.0,53781.0,54947.0,52695.666666666664
882,"Montgomery, IA",43668.0,48838.0,50343.0,47616.333333333336
883,"Muscatine, IA",50498.0,53470.0,54297.0,52755.0
884,"O'Brien, IA",54017.0,60762.0,64968.0,59915.666666666664
885,"Osceola, IA",47474.0,57362.0,65405.0,56747.0
886,"Page, IA",45473.0,52360.0,53235.0,50356.0
887,"Palo Alto, IA",47537.0,58036.0,65080.0,56884.333333333336
888,"Plymouth, IA",56546.0,63028.0,67398.0,62324.0
889,"Pocahontas, IA",47797.0,59043.0,63470.0,56770.0
890,"Polk, IA",57284.0,61908.0,62653.0,60615.0
891,"Pottawattamie, IA",47560.0,51378.0,52369.0,50435.666666666664
892,"Poweshiek, IA",47469.0,53043.0,56228.0,52246.666666666664
893,"Ringgold, IA",49644.0,57890.0,57345.0,54959.666666666664
894,"Sac, IA",54394.0,67441.0,77933.0,66589.33333333333
895,"Scott, IA",56697.0,61380.0,63064.0,60380.333333333336
896,"Shelby, IA",52680.0,63076.0,66542.0,60766.0
897,"Sioux, IA",54447.0,59185.0,67349.0,60327.0
898,"Story, IA",44838.0,48421.0,49748.0,47669.0
899,"Tama, IA",48887.0,56917.0,57918.0,54574.0
900,"Taylor, IA",45769.0,55629.0,57591.0,52996.333333333336
901,"Union, IA",43427.0,49179.0,50034.0,47546.666666666664
902,"Van Buren, IA",41122.0,47167.0,47996.0,45428.333333333336
903,"Wapello, IA",42489.0,45210.0,45795.0,44498.0
904,"Warren, IA",54580.0,59397.0,60515.0,58164.0
905,"Washington, IA",58654.0,71324.0,78929.0,69635.66666666667
906,"Wayne, IA",44373.0,52356.0,53155.0,49961.333333333336
907,"Webster, IA",46570.0,51407.0,53508.0,50495.0
908,"Winnebago, IA",43900.0,51433.0,55013.0,50115.333333333336
909,"Winneshiek, IA",54221.0,59174.0,61042.0,58145.666666666664
910,"Woodbury, IA",46199.0,49822.0,51029.0,49016.666666666664
911,"Worth, IA",44664.0,53655.0,55418.0,51245.666666666664
912,"Wright, IA",47067.0,57903.0,70420.0,58463.333333333336
913,"Allen, KS",44503.0,48367.0,46726.0,46532.0
914,"Anderson, KS",44783.0,54564.0,47195.0,48847.333333333336
915,"Atchison, KS",41948.0,44558.0,42910.0,43138.666666666664
916,"Barber, KS",49767.0,54329.0,50519.0,51538.333333333336
917,"Barton, KS",50775.0,53073.0,55270.0,53039.333333333336
918,"Bourbon, KS",45170.0,48308.0,49749.0,47742.333333333336
919,"Brown, KS",48624.0,51797.0,47205.0,49208.666666666664
920,"Butler, KS",50073.0,52247.0,53632.0,51984.0
921,"Chase, KS",57674.0,60498.0,59348.0,59173.333333333336
922,"Chautauqua, KS",41423.0,43868.0,41861.0,42384.0
923,"Cherokee, KS",47248.0,51304.0,52464.0,50338.666666666664
924,"Cheyenne, KS",55686.0,66687.0,54530.0,58967.666666666664
925,"Clark, KS",57388.0,55860.0,58135.0,57127.666666666664
926,"Clay, KS",47226.0,52127.0,47517.0,48956.666666666664
927,"Cloud, KS",44388.0,47564.0,44536.0,45496.0
928,"Coffey, KS",57129.0,59522.0,55623.0,57424.666666666664
929,"Comanche, KS",46115.0,50363.0,43400.0,46626.0
930,"Cowley, KS",41969.0,43483.0,43664.0,43038.666666666664
931,"Crawford, KS",43056.0,45203.0,45340.0,44533.0
932,"Decatur, KS",54034.0,57957.0,60732.0,57574.333333333336
933,"Dickinson, KS",46165.0,49309.0,47397.0,47623.666666666664
934,"Doniphan, KS",46521.0,51252.0,47117.0,48296.666666666664
935,"Douglas, KS",48676.0,51852.0,52799.0,51109.0
936,"Edwards, KS",60719.0,69453.0,58536.0,62902.666666666664
937,"Elk, KS",40883.0,43195.0,39811.0,41296.333333333336
938,"Ellis, KS",50940.0,54414.0,56016.0,53790.0
939,"Ellsworth, KS",44864.0,48229.0,45694.0,46262.333333333336
940,"Finney, KS",45041.0,48330.0,49645.0,47672.0
941,"Ford, KS",44324.0,47093.0,47179.0,46198.666666666664
942,"Franklin, KS",46103.0,49244.0,48375.0,47907.333333333336
943,"Geary, KS",47866.0,50749.0,50324.0,49646.333333333336
944,"Gove, KS",64608.0,80922.0,72994.0,72841.33333333333
945,"Graham, KS",54595.0,61443.0,51368.0,55802.0
946,"Grant, KS",44558.0,45691.0,40684.0,43644.333333333336
947,"Gray, KS",66495.0,66373.0,65914.0,66260.66666666667
948,"Greeley, KS",86809.0,100968.0,88148.0,91975.0
949,"Greenwood, KS",46327.0,47809.0,42891.0,45675.666666666664
950,"Hamilton, KS",75761.0,72859.0,79482.0,76034.0
951,"Harper, KS",56357.0,60523.0,58307.0,58395.666666666664
952,"Harvey, KS",47458.0,50317.0,50772.0,49515.666666666664
953,"Haskell, KS",66122.0,73925.0,59322.0,66456.33333333333
954,"Hodgeman, KS",65243.0,67197.0,62195.0,64878.333333333336
955,"Jackson, KS",46818.0,50394.0,49154.0,48788.666666666664
956,"Jefferson, KS",50114.0,53748.0,53560.0,52474.0
957,"Jewell, KS",55310.0,62428.0,46694.0,54810.666666666664
958,"Johnson, KS",79088.0,83008.0,90503.0,84199.66666666667
959,"Kearny, KS",58493.0,62102.0,55390.0,58661.666666666664
960,"Kingman, KS",48941.0,53186.0,49785.0,50637.333333333336
961,"Kiowa, KS",51374.0,55693.0,43681.0,50249.333333333336
962,"Labette, KS",45584.0,47777.0,47816.0,47059.0
963,"Lane, KS",73604.0,79716.0,71071.0,74797.0
964,"Leavenworth, KS",46924.0,49410.0,50002.0,48778.666666666664
965,"Lincoln, KS",52705.0,52610.0,47223.0,50846.0
966,"Linn, KS",45412.0,47555.0,45751.0,46239.333333333336
967,"Logan, KS",59476.0,66462.0,59864.0,61934.0
968,"Lyon, KS",44176.0,46871.0,46789.0,45945.333333333336
969,"McPherson, KS",54911.0,57500.0,57557.0,56656.0
970,"Marion, KS",46345.0,48660.0,45002.0,46669.0
971,"Marshall, KS",47599.0,50423.0,45513.0,47845.0
972,"Meade, KS",67492.0,76618.0,69285.0,71131.66666666667
973,"Miami, KS",54189.0,58344.0,59222.0,57251.666666666664
974,"Mitchell, KS",69152.0,68490.0,63466.0,67036.0
975,"Montgomery, KS",40393.0,43372.0,43912.0,42559.0
976,"Morris, KS",50099.0,52176.0,49627.0,50634.0
977,"Morton, KS",48720.0,56565.0,40869.0,48718.0
978,"Nemaha, KS",58366.0,61428.0,59052.0,59615.333333333336
979,"Neosho, KS",43760.0,46270.0,45486.0,45172.0
980,"Ness, KS",60930.0,68014.0,60994.0,63312.666666666664
981,"Norton, KS",48640.0,53018.0,51832.0,51163.333333333336
982,"Osage, KS",46897.0,49947.0,48581.0,48475.0
983,"Osborne, KS",51456.0,56887.0,49275.0,52539.333333333336
984,"Ottawa, KS",46289.0,51194.0,48942.0,48808.333333333336
985,"Pawnee, KS",45689.0,49260.0,43956.0,46301.666666666664
986,"Phillips, KS",57768.0,66420.0,60487.0,61558.333333333336
987,"Pottawatomie, KS",56879.0,60383.0,61738.0,59666.666666666664
988,"Pratt, KS",52106.0,56892.0,53260.0,54086.0
989,"Rawlins, KS",66530.0,79578.0,76456.0,74188.0
990,"Reno, KS",45508.0,47483.0,47727.0,46906.0
991,"Republic, KS",48158.0,52839.0,46289.0,49095.333333333336
992,"Rice, KS",47651.0,49625.0,48402.0,48559.333333333336
993,"Riley, KS",45640.0,48851.0,50261.0,48250.666666666664
994,"Rooks, KS",46030.0,49653.0,43120.0,46267.666666666664
995,"Rush, KS",57665.0,63195.0,51940.0,57600.0
996,"Russell, KS",50134.0,54598.0,52834.0,52522.0
997,"Saline, KS",51212.0,55070.0,56999.0,54427.0
998,"Scott, KS",59967.0,62799.0,61365.0,61377.0
999,"Sedgwick, KS",53098.0,57356.0,59772.0,56742.0
1000,"Seward, KS",42190.0,45745.0,47415.0,45116.666666666664
1001,"Shawnee, KS",50511.0,53830.0,55466.0,53269.0
1002,"Sheridan, KS",57053.0,58169.0,56637.0,57286.333333333336
1003,"Sherman, KS",49553.0,55032.0,51638.0,52074.333333333336
1004,"Smith, KS",55927.0,64222.0,54221.0,58123.333333333336
1005,"Stafford, KS",49755.0,51809.0,47665.0,49743.0
1006,"Stanton, KS",84155.0,90913.0,77840.0,84302.66666666667
1007,"Stevens, KS",50025.0,54888.0,50696.0,51869.666666666664
1008,"Sumner, KS",43866.0,47378.0,45475.0,45573.0
1009,"Thomas, KS",49970.0,55220.0,54673.0,53287.666666666664
1010,"Trego, KS",56100.0,60865.0,53707.0,56890.666666666664
1011,"Wabaunsee, KS",53796.0,56877.0,55871.0,55514.666666666664
1012,"Wallace, KS",60126.0,63589.0,53062.0,58925.666666666664
1013,"Washington, KS",52862.0,55467.0,47050.0,51793.0
1014,"Wichita, KS",60209.0,58834.0,54687.0,57910.0
1015,"Wilson, KS",45033.0,49202.0,47414.0,47216.333333333336
1016,"Woodson, KS",42827.0,45866.0,39243.0,42645.333333333336
1017,"Wyandotte, KS",36191.0,38363.0,38253.0,37602.333333333336
1018,"Adair, KY",37567.0,41143.0,40549.0,39753.0
1019,"Allen, KY",37202.0,40488.0,40895.0,39528.333333333336
1020,"Anderson, KY",41572.0,45387.0,45566.0,44175.0
1021,"Ballard, KY",44472.0,49783.0,49784.0,48013.0
1022,"Barren, KY",40063.0,43554.0,42779.0,42132.0
1023,"Bath, KY",34438.0,37846.0,37167.0,36483.666666666664
1024,"Bell, KY",36979.0,40554.0,39665.0,39066.0
1025,"Boone, KY",53533.0,57549.0,58730.0,56604.0
1026,"Bourbon, KY",50337.0,56182.0,57191.0,54570.0
1027,"Boyd, KY",42757.0,46202.0,45945.0,44968.0
1028,"Boyle, KY",42176.0,45389.0,45282.0,44282.333333333336
1029,"Bracken, KY",41801.0,44575.0,43677.0,43351.0
1030,"Breathitt, KY",34940.0,38890.0,38326.0,37385.333333333336
1031,"Breckinridge, KY",38155.0,42471.0,41519.0,40715.0
1032,"Bullitt, KY",46371.0,50450.0,51198.0,49339.666666666664
1033,"Butler, KY",39207.0,43988.0,43098.0,42097.666666666664
1034,"Caldwell, KY",40285.0,45161.0,44661.0,43369.0
1035,"Calloway, KY",42030.0,44871.0,43984.0,43628.333333333336
1036,"Campbell, KY",54457.0,60170.0,61635.0,58754.0
1037,"Carlisle, KY",46119.0,54056.0,53759.0,51311.333333333336
1038,"Carroll, KY",41046.0,45169.0,46390.0,44201.666666666664
1039,"Carter, KY",35782.0,39157.0,38473.0,37804.0
1040,"Casey, KY",36560.0,40176.0,39572.0,38769.333333333336
1041,"Christian, KY",40914.0,44728.0,42881.0,42841.0
1042,"Clark, KY",43653.0,47818.0,47562.0,46344.333333333336
1043,"Clay, KY",34708.0,38722.0,37992.0,37140.666666666664
1044,"Clinton, KY",40004.0,43424.0,43607.0,42345.0
1045,"Crittenden, KY",38425.0,42516.0,41566.0,40835.666666666664
1046,"Cumberland, KY",47037.0,50269.0,49499.0,48935.0
1047,"Daviess, KY",46351.0,49792.0,49179.0,48440.666666666664
1048,"Edmonson, KY",37353.0,40370.0,39810.0,39177.666666666664
1049,"Elliott, KY",26929.0,28564.0,27403.0,27632.0
1050,"Estill, KY",36666.0,39731.0,38999.0,38465.333333333336
1051,"Fayette, KY",55601.0,58570.0,59641.0,57937.333333333336
1052,"Fleming, KY",38553.0,41131.0,40378.0,40020.666666666664
1053,"Floyd, KY",39189.0,43160.0,43435.0,41928.0
1054,"Franklin, KY",45866.0,49432.0,49471.0,48256.333333333336
1055,"Fulton, KY",35395.0,41459.0,41030.0,39294.666666666664
1056,"Gallatin, KY",38876.0,43124.0,43018.0,41672.666666666664
1057,"Garrard, KY",40919.0,43508.0,43552.0,42659.666666666664
1058,"Grant, KY",41639.0,45803.0,45551.0,44331.0
1059,"Graves, KY",43031.0,48525.0,50193.0,47249.666666666664
1060,"Grayson, KY",39021.0,42057.0,41583.0,40887.0
1061,"Green, KY",40202.0,42242.0,40688.0,41044.0
1062,"Greenup, KY",44186.0,47354.0,47623.0,46387.666666666664
1063,"Hancock, KY",40996.0,49540.0,53953.0,48163.0
1064,"Hardin, KY",48025.0,52412.0,52724.0,51053.666666666664
1065,"Harlan, KY",34123.0,38007.0,37712.0,36614.0
1066,"Harrison, KY",41539.0,43471.0,42585.0,42531.666666666664
1067,"Hart, KY",37044.0,40199.0,39663.0,38968.666666666664
1068,"Henderson, KY",45039.0,49595.0,48905.0,47846.333333333336
1069,"Henry, KY",44986.0,49400.0,49517.0,47967.666666666664
1070,"Hickman, KY",41805.0,53695.0,56507.0,50669.0
1071,"Hopkins, KY",42193.0,46453.0,46836.0,45160.666666666664
1072,"Jackson, KY",35150.0,37453.0,36774.0,36459.0
1073,"Jefferson, KY",56306.0,63117.0,64075.0,61166.0
1074,"Jessamine, KY",51766.0,57061.0,58177.0,55668.0
1075,"Johnson, KY",36100.0,39389.0,39254.0,38247.666666666664
1076,"Kenton, KY",61264.0,68327.0,69498.0,66363.0
1077,"Knott, KY",36756.0,41076.0,40743.0,39525.0
1078,"Knox, KY",34963.0,38425.0,37196.0,36861.333333333336
1079,"Larue, KY",40560.0,43587.0,42444.0,42197.0
1080,"Laurel, KY",37353.0,41100.0,40398.0,39617.0
1081,"Lawrence, KY",34586.0,37852.0,37953.0,36797.0
1082,"Lee, KY",32152.0,35022.0,34518.0,33897.333333333336
1083,"Leslie, KY",35071.0,39156.0,38900.0,37709.0
1084,"Letcher, KY",35490.0,39431.0,39260.0,38060.333333333336
1085,"Lewis, KY",36250.0,39659.0,38189.0,38032.666666666664
1086,"Lincoln, KY",37259.0,40185.0,40008.0,39150.666666666664
1087,"Livingston, KY",44001.0,45864.0,45791.0,45218.666666666664
1088,"Logan, KY",40156.0,45313.0,44262.0,43243.666666666664
1089,"Lyon, KY",38665.0,42738.0,39712.0,40371.666666666664
1090,"McCracken, KY",51037.0,57198.0,58253.0,55496.0
1091,"McCreary, KY",31173.0,35636.0,34058.0,33622.333333333336
1092,"McLean, KY",41143.0,49120.0,51396.0,47219.666666666664
1093,"Madison, KY",40444.0,44092.0,44350.0,42962.0
1094,"Magoffin, KY",38786.0,42114.0,41338.0,40746.0
1095,"Marion, KY",40521.0,44091.0,43553.0,42721.666666666664
1096,"Marshall, KY",45603.0,48096.0,48444.0,47381.0
1097,"Martin, KY",32706.0,32500.0,31956.0,32387.333333333332
1098,"Mason, KY",43833.0,49224.0,48132.0,47063.0
1099,"Meade, KY",42902.0,47011.0,46812.0,45575.0
1100,"Menifee, KY",37480.0,40555.0,39714.0,39249.666666666664
1101,"Mercer, KY",39267.0,43489.0,44293.0,42349.666666666664
1102,"Metcalfe, KY",34412.0,37814.0,36557.0,36261.0
1103,"Monroe, KY",39731.0,43913.0,44662.0,42768.666666666664
1104,"Montgomery, KY",39862.0,42600.0,42403.0,41621.666666666664
1105,"Morgan, KY",30828.0,33802.0,31709.0,32113.0
1106,"Muhlenberg, KY",36600.0,40806.0,40189.0,39198.333333333336
1107,"Nelson, KY",48163.0,52944.0,53328.0,51478.333333333336
1108,"Nicholas, KY",37668.0,39933.0,39341.0,38980.666666666664
1109,"Ohio, KY",36012.0,39449.0,40086.0,38515.666666666664
1110,"Oldham, KY",67763.0,74104.0,76988.0,72951.66666666667
1111,"Owen, KY",36300.0,40100.0,39525.0,38641.666666666664
1112,"Owsley, KY",40959.0,45763.0,45178.0,43966.666666666664
1113,"Pendleton, KY",46466.0,50786.0,51545.0,49599.0
1114,"Perry, KY",39236.0,43103.0,43108.0,41815.666666666664
1115,"Pike, KY",39793.0,43101.0,43566.0,42153.333333333336
1116,"Powell, KY",34696.0,37615.0,37380.0,36563.666666666664
1117,"Pulaski, KY",42593.0,46622.0,46059.0,45091.333333333336
1118,"Robertson, KY",38891.0,40988.0,39346.0,39741.666666666664
1119,"Rockcastle, KY",37490.0,40166.0,39538.0,39064.666666666664
1120,"Rowan, KY",34742.0,37697.0,37407.0,36615.333333333336
1121,"Russell, KY",41984.0,47186.0,50836.0,46668.666666666664
1122,"Scott, KY",48133.0,51804.0,52623.0,50853.333333333336
1123,"Shelby, KY",50857.0,55778.0,56480.0,54371.666666666664
1124,"Simpson, KY",40588.0,44315.0,43164.0,42689.0
1125,"Spencer, KY",51067.0,54584.0,56264.0,53971.666666666664
1126,"Taylor, KY",39067.0,41061.0,39822.0,39983.333333333336
1127,"Todd, KY",41023.0,47402.0,47258.0,45227.666666666664
1128,"Trigg, KY",42819.0,46060.0,44456.0,44445.0
1129,"Trimble, KY",44055.0,47971.0,48335.0,46787.0
1130,"Union, KY",42602.0,50908.0,48850.0,47453.333333333336
1131,"Warren, KY",41280.0,44889.0,46117.0,44095.333333333336
1132,"Washington, KY",42690.0,45655.0,45188.0,44511.0
1133,"Wayne, KY",34551.0,38046.0,36768.0,36455.0
1134,"Webster, KY",41056.0,47383.0,49417.0,45952.0
1135,"Whitley, KY",39250.0,42490.0,42174.0,41304.666666666664
1136,"Wolfe, KY",39180.0,44703.0,43814.0,42565.666666666664
1137,"Woodford, KY",54791.0,60593.0,62468.0,59284.0
1138,"Acadia, LA",43949.0,46156.0,45671.0,45258.666666666664
1139,"Allen, LA",41541.0,42685.0,42506.0,42244.0
1140,"Ascension, LA",55802.0,59430.0,60401.0,58544.333333333336
1141,"Assumption, LA",51882.0,56906.0,55758.0,54848.666666666664
1142,"Avoyelles, LA",42720.0,45358.0,43997.0,44025.0
1143,"Beauregard, LA",47287.0,50171.0,50503.0,49320.333333333336
1144,"Bienville, LA",42610.0,45454.0,45148.0,44404.0
1145,"Bossier, LA",48586.0,52287.0,53254.0,51375.666666666664
1146,"Caddo, LA",54770.0,57457.0,57648.0,56625.0
1147,"Calcasieu, LA",46741.0,51485.0,51528.0,49918.0
1148,"Caldwell, LA",39014.0,41175.0,39823.0,40004.0
1149,"Cameron, LA",58070.0,63673.0,62996.0,61579.666666666664
1150,"Catahoula, LA",41008.0,44596.0,43187.0,42930.333333333336
1151,"Claiborne, LA",40776.0,43244.0,44015.0,42678.333333333336
1152,"Concordia, LA",39931.0,42566.0,41772.0,41423.0
1153,"De Soto, LA",47361.0,52201.0,53134.0,50898.666666666664
1154,"East Baton Rouge, LA",55045.0,60054.0,59982.0,58360.333333333336
1155,"East Carroll, LA",34664.0,39065.0,36012.0,36580.333333333336
1156,"East Feliciana, LA",44128.0,47369.0,47049.0,46182.0
1157,"Evangeline, LA",38488.0,40588.0,40227.0,39767.666666666664
1158,"Franklin, LA",37497.0,40432.0,38874.0,38934.333333333336
1159,"Grant, LA",35084.0,37319.0,37371.0,36591.333333333336
1160,"Iberia, LA",42131.0,46671.0,45133.0,44645.0
1161,"Iberville, LA",48753.0,53525.0,52199.0,51492.333333333336
1162,"Jackson, LA",39063.0,41899.0,42143.0,41035.0
1163,"Jefferson, LA",54778.0,58750.0,58692.0,57406.666666666664
1164,"Jefferson Davis, LA",45806.0,46875.0,48472.0,47051.0
1165,"Lafayette, LA",54100.0,59325.0,58963.0,57462.666666666664
1166,"Lafourche, LA",45827.0,51350.0,52324.0,49833.666666666664
1167,"LaSalle, LA",36817.0,37835.0,37415.0,37355.666666666664
1168,"Lincoln, LA",42019.0,46908.0,47336.0,45421.0
1169,"Livingston, LA",45942.0,48549.0,49173.0,47888.0
1170,"Madison, LA",40147.0,44013.0,42276.0,42145.333333333336
1171,"Morehouse, LA",41084.0,43987.0,42516.0,42529.0
1172,"Natchitoches, LA",44180.0,48022.0,49209.0,47137.0
1173,"Orleans, LA",55577.0,62529.0,61623.0,59909.666666666664
1174,"Ouachita, LA",43602.0,46926.0,46982.0,45836.666666666664
1175,"Plaquemines, LA",51198.0,55422.0,55606.0,54075.333333333336
1176,"Pointe Coupee, LA",53594.0,58848.0,57183.0,56541.666666666664
1177,"Rapides, LA",49889.0,53495.0,53886.0,52423.333333333336
1178,"Red River, LA",49727.0,53791.0,54295.0,52604.333333333336
1179,"Richland, LA",42760.0,45016.0,44221.0,43999.0
1180,"Sabine, LA",41561.0,45073.0,46947.0,44527.0
1181,"St. Bernard, LA",39309.0,42345.0,41861.0,41171.666666666664
1182,"St. Charles, LA",52667.0,56796.0,57667.0,55710.0
1183,"St. Helena, LA",45302.0,47272.0,45131.0,45901.666666666664
1184,"St. James, LA",57383.0,63816.0,62685.0,61294.666666666664
1185,"St. John the Baptist, LA",44015.0,46310.0,45723.0,45349.333333333336
1186,"St. Landry, LA",45077.0,47852.0,47611.0,46846.666666666664
1187,"St. Martin, LA",42485.0,46190.0,44910.0,44528.333333333336
1188,"St. Mary, LA",44257.0,48637.0,46797.0,46563.666666666664
1189,"St. Tammany, LA",65486.0,72939.0,73697.0,70707.33333333333
1190,"Tangipahoa, LA",43882.0,47748.0,47512.0,46380.666666666664
1191,"Tensas, LA",44208.0,51503.0,47240.0,47650.333333333336
1192,"Terrebonne, LA",45377.0,48195.0,48629.0,47400.333333333336
1193,"Union, LA",44103.0,47052.0,48882.0,46679.0
1194,"Vermilion, LA",44005.0,47496.0,46867.0,46122.666666666664
1195,"Vernon, LA",44507.0,47689.0,47558.0,46584.666666666664
1196,"Washington, LA",39371.0,41881.0,41376.0,40876.0
1197,"Webster, LA",45731.0,49635.0,49707.0,48357.666666666664
1198,"West Baton Rouge, LA",51626.0,54767.0,54895.0,53762.666666666664
1199,"West Carroll, LA",41580.0,42736.0,41276.0,41864.0
1200,"West Feliciana, LA",42183.0,45329.0,45693.0,44401.666666666664
1201,"Winn, LA",43365.0,46528.0,47514.0,45802.333333333336
1202,"Androscoggin, ME",45865.0,48186.0,49055.0,47702.0
1203,"Aroostook, ME",46791.0,49913.0,50915.0,49206.333333333336
1204,"Cumberland, ME",68583.0,74836.0,78012.0,73810.33333333333
1205,"Franklin, ME",43676.0,45839.0,47120.0,45545.0
1206,"Hancock, ME",55551.0,61049.0,63357.0,59985.666666666664
1207,"Kennebec, ME",50123.0,54056.0,55361.0,53180.0
1208,"Knox, ME",55815.0,59336.0,61897.0,59016.0
1209,"Lincoln, ME",54689.0,59193.0,61524.0,58468.666666666664
1210,"Oxford, ME",42791.0,45799.0,46450.0,45013.333333333336
1211,"Penobscot, ME",47264.0,50753.0,51998.0,50005.0
1212,"Piscataquis, ME",45626.0,49034.0,49863.0,48174.333333333336
1213,"Sagadahoc, ME",54540.0,59874.0,62568.0,58994.0
1214,"Somerset, ME",43319.0,46752.0,47306.0,45792.333333333336
1215,"Waldo, ME",47866.0,51915.0,54714.0,51498.333333333336
1216,"Washington, ME",46121.0,48771.0,49500.0,48130.666666666664
1217,"York, ME",57737.0,62833.0,65074.0,61881.333333333336
1218,"Allegany, MD",45121.0,47424.0,46293.0,46279.333333333336
1219,"Anne Arundel, MD",72194.0,76926.0,78889.0,76003.0
1220,"Baltimore, MD",63845.0,67320.0,67818.0,66327.66666666667
1221,"Calvert, MD",67104.0,68977.0,70717.0,68932.66666666667
1222,"Caroline, MD",47856.0,53563.0,55490.0,52303.0
1223,"Carroll, MD",65131.0,69738.0,71235.0,68701.33333333333
1224,"Cecil, MD",52796.0,55399.0,56050.0,54748.333333333336
1225,"Charles, MD",59941.0,62069.0,62942.0,61650.666666666664
1226,"Dorchester, MD",49325.0,55388.0,55772.0,53495.0
1227,"Frederick, MD",65495.0,69851.0,72151.0,69165.66666666667
1228,"Garrett, MD",49002.0,53384.0,52923.0,51769.666666666664
1229,"Harford, MD",62146.0,66172.0,67473.0,65263.666666666664
1230,"Howard, MD",81308.0,86602.0,88927.0,85612.33333333333
1231,"Kent, MD",63055.0,69001.0,69715.0,67257.0
1232,"Montgomery, MD",85373.0,91042.0,93395.0,89936.66666666667
1233,"Prince George's, MD",50197.0,53317.0,52756.0,52090.0
1234,"Queen Anne's, MD",71124.0,77927.0,79866.0,76305.66666666667
1235,"St. Mary's, MD",62459.0,65118.0,66146.0,64574.333333333336
1236,"Somerset, MD",32523.0,36846.0,38480.0,35949.666666666664
1237,"Talbot, MD",78636.0,85781.0,88449.0,84288.66666666667
1238,"Washington, MD",49195.0,53049.0,53382.0,51875.333333333336
1239,"Wicomico, MD",42951.0,46559.0,46153.0,45221.0
1240,"Worcester, MD",59037.0,64601.0,64486.0,62708.0
1241,"Baltimore (Independent City), MD",54125.0,58435.0,59807.0,57455.666666666664
1242,"Barnstable, MA",79606.0,83891.0,85317.0,82938.0
